"variable","regionnumber","year","value"
"JOBSI0R","7","2036",94794.38
"JOBSI0R","8","2036",28516.55
"JOBSI0R","9","2036",81027.83
"JOBSI0R","10","2036",78712.89
"JOBSI0R","11","2036",212821.9
"JOBSI0R","12","2036",143021.5
"JOBSI0R","13","2036",43068.16
"JOBSI0R","14","2036",10797.45
"JOBSI0R","1","2037",45457.34
"JOBSI0R","2","2037",501740.5
"JOBSI0R","3","2037",2681709
"JOBSI0R","4","2037",541371.4
"JOBSI0R","5","2037",27502.43
"JOBSI0R","6","2037",22547.45
"JOBSI0R","7","2037",95712.27
"JOBSI0R","8","2037",28680.05
"JOBSI0R","9","2037",82114.24
"JOBSI0R","10","2037",79725.09
"JOBSI0R","11","2037",215569.2
"JOBSI0R","12","2037",145572.3
"JOBSI0R","13","2037",43238.6
"JOBSI0R","14","2037",10822.24
"JOBSI0R","1","2038",45711.19
"JOBSI0R","2","2038",508837.6
"JOBSI0R","3","2038",2715283
"JOBSI0R","4","2038",547187.1
"JOBSI0R","5","2038",27785.09
"JOBSI0R","6","2038",22598.52
"JOBSI0R","7","2038",96581.23
"JOBSI0R","8","2038",28861.05
"JOBSI0R","9","2038",83257.14
"JOBSI0R","10","2038",80747.12
"JOBSI0R","11","2038",218275.6
"JOBSI0R","12","2038",148151.9
"JOBSI0R","13","2038",43418.61
"JOBSI0R","14","2038",10876.67
"JOBSI0R","1","2039",45968.3
"JOBSI0R","2","2039",515787.2
"JOBSI0R","3","2039",2749286
"JOBSI0R","4","2039",552941.5
"JOBSI0R","5","2039",28070.52
"JOBSI0R","6","2039",22656.45
"JOBSI0R","7","2039",97431.07
"JOBSI0R","8","2039",29056.9
"JOBSI0R","9","2039",84438.06
"JOBSI0R","10","2039",81811.59
"JOBSI0R","11","2039",220933.3
"JOBSI0R","12","2039",150816.8
"JOBSI0R","13","2039",43607.69
"JOBSI0R","14","2039",10947.51
"JOBSI0R","1","2040",46243.5
